catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure
4577555,2023-05-11 22:12:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー135 - マットブラックPBⅡ
4572393,2023-05-11 22:00:00+09:00,757087,Kオヤジ,1148,水の広場公園,2,シーバス,55.0,マニック95
4577547,2023-05-11 22:00:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ
4577543,2023-05-11 21:53:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,48.0,マニックスロー95 - マットブラックPBⅡ
4577532,2023-05-11 21:48:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ
4577527,2023-05-11 21:36:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー95 - マットブラックPBⅡ
4577517,2023-05-11 21:28:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,53.0,マニックスロー95 - マットブラックPBⅡ
4577503,2023-05-11 21:18:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,30.0,マニックスロー95 - マットブラックPBⅡ
4577461,2023-05-11 20:04:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,45.0,feel100 - マットピンク
4577459,2023-05-11 19:55:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,25.0,feel100 - マットピンク
4569636,2023-05-10 23:57:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー95 - マット赤イソメ
4569632,2023-05-10 23:55:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,30.0,
4569624,2023-05-10 23:53:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,45.0,マニックスロー95 - マットブラックPBⅡ
4569620,2023-05-10 23:51:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ
4569613,2023-05-10 23:50:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー135 - マットブラックPBⅡ
4569059,2023-05-10 22:09:00+09:00,448249,ロミオ🔰,1148,水の広場公園,2,シーバス,47.0,バチX 130F(kotaro9謹製) - リアルバチチャート
4568988,2023-05-10 20:40:00+09:00,883054,シャ,1148,水の広場公園,2,シーバス,59.0,ノガレ120F
4568666,2023-05-10 19:58:00+09:00,708656,のふふぉ,1148,水の広場公園,793,フッコ（マルスズキ）,30.0,
4569069,2023-05-10 18:03:00+09:00,468471,ゴーゴー@隅田川旧江戸川,1148,水の広場公園,23,アイナメ,20.0,IP-13アイアンプレート - イワシゴールド
4573381,2023-05-09 21:49:00+09:00,883547,OJ0702,1148,水の広場公園,2,シーバス,65.0,マニック95 - チャート
4565670,2023-05-09 21:26:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,50.0,マニック115 - キャスティングオリカラ
4565845,2023-05-09 21:16:00+09:00,708697,ハルミ,1148,水の広場公園,2,シーバス,60.0,マニック95
4565625,2023-05-09 20:54:00+09:00,883054,シャ,1148,水の広場公園,2,シーバス,50.0,ノガレ120F
4565384,2023-05-09 20:49:00+09:00,1044774,江東太郎,1148,水の広場公園,2,シーバス,37.0,feel120FG - ブラックピンク
4565713,2023-05-09 19:16:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ
4619161,2023-05-09 07:21:00+09:00,696597,釣りバカボン,1148,水の広場公園,2,シーバス,,エリア10
4563795,2023-05-09 03:26:00+09:00,440557,寿司太郎,1148,水の広場公園,2,シーバス,30.0,ブレス60ss
4563249,2023-05-08 21:48:00+09:00,883054,シャ,1148,水の広場公園,2,シーバス,60.0,エリア10
4562809,2023-05-08 21:10:00+09:00,428326,Ted412,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - ベイホワイト
4573371,2023-05-08 21:02:00+09:00,883547,OJ0702,1148,水の広場公園,2,シーバス,60.0,ノガレ120f - ライムチャート
4562890,2023-05-08 19:13:00+09:00,708697,ハルミ,1148,水の広場公園,2,シーバス,55.0,エリア10
4556586,2023-05-06 15:38:00+09:00,399853,もりたん,1150,有明西ふ頭公園,185,クロダイ,,イガイ
4550823,2023-05-05 18:13:00+09:00,399853,もりたん,1148,水の広場公園,975,キビレ,,ワーム
4550808,2023-05-05 15:36:00+09:00,399853,もりたん,1148,水の広場公園,975,キビレ,,ワーム
4552057,2023-05-05 12:00:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,52.0,feel120HSR - ブラックピンク
4546110,2023-05-05 04:01:00+09:00,1044774,江東太郎,1148,水の広場公園,2,シーバス,25.0,feel120FG - ブラックピンク
4545015,2023-05-04 19:53:00+09:00,501113,ファイト坊主,1148,水の広場公園,2,シーバス,,
4543750,2023-05-04 19:24:00+09:00,1050575,はるぼん,1150,有明西ふ頭公園,801,フッコ（ヒラスズキ）,20.0,
4545255,2023-05-04 18:59:00+09:00,747669,Cry baby,1148,水の広場公園,793,フッコ（マルスズキ）,55.0,
4543375,2023-05-04 17:17:00+09:00,623637,泳がせはロマン,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,46.0,
4539317,2023-05-04 04:03:00+09:00,421673,ARG,1148,水の広場公園,2,シーバス,30.0,アルデンテ75
4539308,2023-05-04 02:39:00+09:00,421673,ARG,1148,水の広場公園,2,シーバス,55.0,マニック115
4533815,2023-05-03 02:40:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,52.0,ミドルアッパーJr. - 銀粉グローチャート
4533795,2023-05-02 23:52:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,28.0,マニックスロー95 - 赤虫レインボー
